ID,,Time,Coordinates,Latitude,Longitude,Pedestrian strip width,Strip services ,Material,Status of maintenance,Continuity,Mobiles obstacles,Permanent obstacles,Vertical Obstacles,Street furniture,Trees,Planters,"Street lighting
",Facades activity,Percentage of parking accesses,visibilidad de fachada,Score,,,,
518,,12/06/2022 15:41:07.670 CST,POINT Z (-99.13571991 19.42868933 0.000),19.43,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),1 (sin grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),1 (toda la acera tiene arboles),1 (toda la acera tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),11,,,,
519,,12/06/2022 15:41:10.121 CST,POINT Z (-99.13541012 19.42846294 0.000),19.43,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),1 (no hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),1 (la mayoria es visible),12.5,,,,
525,,12/06/2022 15:46:36.003 CST,POINT Z (-99.13442038 19.42849013 0.000),19.43,-99.13,0.5 (1.2 m a 1.8m),1 (si existe),1 (material que no resbale),1 (sin grietas o levantamientos),1 (no hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),1 (toda la acera tiene arboles),1 (toda la acera tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),1 (la mayoria es visible),13.5,,,,
526,,12/06/2022 15:46:40.128 CST,POINT Z (-99.13446665 19.42838073 0.000),19.43,-99.13,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),1 (sin grietas o levantamientos),1 (no hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),1 (toda la acera tiene arboles),1 (toda la acera tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),1 (la mayoria es visible),14,,,,
620,,12/08/2022 11:12:06.676 CST,POINT Z (-99.14116547 19.42243540 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),0 (hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),1 (una o mas bancas),1 (toda la acera tiene arboles),1 (toda la acera tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),10.5,,,,
627,,12/08/2022 11:20:19.520 CST,POINT Z (-99.14005034 19.42325751 0.000),19.42,-99.14,0.5 (1.2 m a 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),0 (hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),7.5,,,,
628,,12/08/2022 11:20:23.155 CST,POINT Z (-99.13980223 19.42329292 0.000),19.42,-99.14,0.5 (1.2 m a 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),0 (hay obstaculos),1 (no hay obstaculos),0 (hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0.5 (mas de la mitad son visibles),7,,,,
645,,12/08/2022 11:36:09.972 CST,POINT Z (-99.13942169 19.42252457 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),1 (una o mas bancas),0 (menos de la mitad tiene arboles,0 (menos de la mitad cuenta con jardineras),0.5 (existen postes en una parte del tramo),0 (no existen locales),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),8,,,,
649,,12/08/2022 11:39:50.054 CST,POINT Z (-99.13826533 19.42253374 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0 (superficie deteriorada),0 (hay desniveles),1 (no hay obstaculos),1 (no hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0 (menos de la mitad tiene arboles,0 (menos de la mitad cuenta con jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),8,,,,
653,,12/08/2022 11:44:18.215 CST,POINT Z (-99.13774263 19.42345229 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),1 (no hay obstaculos),0 (hay obstaculos),1 (no hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),0 (existe uno o mas que ocupan el 30% o mas),0 (menos de la mitad son visibles),8.5,,,,
670,,12/08/2022 12:02:35.881 CST,POINT Z (-99.13765781 19.42321261 0.000),19.42,-99.14,1 (mas de 1.8m),1 (si existe),1 (material que no resbale),0.5 (con grietas o levantamientos),0 (hay desniveles),0 (hay obstaculos),1 (no hay obstaculos),0 (hay obstaculos),0 (no hay bancas),0.5 (por lo menos la mitad de la acera tiene arboles),0.5 (la mitad tiene jardineras),1 (hay postes que miran a la acera en todo el tramo),1 (al menos un local o comercio),1 (no existe o uno ocupa menos del 30% del lote),1 (la mayoria es visible),9.5,,,,
